Date,Job Name,Job Type,Hours Worked,Pay
"Nov 7, 2022",Job Name 1,Job Type 1,3,$103.14
"Nov 8, 2022",Job Name 2,Job Type 2,5,$187.90
"Nov 14, 2022",Job Name 3,Job Type 2,5,$133.43
"Nov 15, 2022",Job Name 4,Job Type 2,4,$123.40
"Nov 16, 2022",Job Name 5,Job Type 8,2,$70.00
"Nov 17, 2022",Job Name 6,Job Type 2,5,$173.48
"Nov 18, 2022",Job Name 7,Job Type 2,3,$94.34
"Nov 18, 2022",Job Name 8,Job Type 2,4,$125.79
"Nov 19, 2022",Job Name 9,Job Type 4,6,$363.64
"Nov 20, 2022",Job Name 10,Job Type 5,2.5,$148.94
"Nov 21, 2022",Job Name 11,Job Type 3,6,$295.26
"Nov 22, 2022",Job Name 12,Job Type 3,8,$351.86
"Nov 23, 2022",Job Name 13,Job Type 3,6,$263.89
"Nov 24, 2022",Job Name 14,Job Type 1,2.5,$228.03
"Nov 28, 2022",Job Name 15,Job Type 2,2.5,$85.66
"Nov 29, 2022",Job Name 16,Job Type 1,2.5,$123.25
"Nov 30, 2022",Job Name 17,Job Type 3,3,$88.20
"Nov 30, 2022",Job Name 18,Job Type 3,3,$88.20
"Dec 1, 2022",Job Name 19,Job Type 1,6,$586.85
"Dec 2, 2022",Job Name 20,Job Type 3,5,$176.38
"Dec 3, 2022",Job Name 21,Job Type 1,2.5,$126.30
"Dec 5, 2022",Job Name 22,Job Type 3,4.5,$224.36
"Dec 6, 2022",Job Name 23,Job Type 3,3,$106.39
"Dec 7, 2022",Job Name 24,Job Type 1,1,$93.46
"Dec 12, 2022",Job Name 25,Job Type 6,5,$150.00
"Dec 13, 2022",Job Name 26,Job Type 4,5.5,$421.70
"Dec 14, 2022",Job Name 27,Job Type 6,3.5,$150.00
"Dec 15, 2022",Job Name 28,Job Type 2,3.5,$143.93
"Dec 19, 2022",Job Name 29,Job Type 3,8,$273.70
"Dec 20, 2022",Job Name 30,Job Type 7,3.5,$200.00
"Dec 21, 2022",Job Name 31,Job Type 5,4,$214.11
"Dec 22, 2022",Job Name 32,Job Type 1,3,$354.05
"Dec 23, 2022",Job Name 33,Job Type 9,1,$16.00
"Dec 24, 2022",Job Name 34,Job Type 2,2,$43.74
"Dec 26, 2022",Job Name 35,Job Type 3,3,$153.13
"Dec 27, 2022",Job Name 36,Job Type 3,4,$204.19
"Dec 28, 2022",Job Name 37,Job Type 10,4,$127.99
"Dec 29, 2022",Job Name 38,Job Type 4,6.5,$414.68
"Dec 30, 2022",Job Name 39,Job Type 2,6.5,$189.06
"Jan 2, 2023",Job Name 40,Job Type 2,2.5,$120.40
"Jan 3, 2023",Job Name 41,Job Type 2,2.5,$136.13
"Jan 9, 2023",Job Name 42,Job Type 2,5,$181.76
"Jan 10, 2023",Job Name 43,Job Type 2,8,$290.81
"Jan 11, 2023",Job Name 44,Job Type 4,6,$427.92
"Jan 12, 2023",Job Name 45,Job Type 2,5,$187.66
"Jan 13, 2023",Job Name 46,Job Type 8,2,$70.00
"Jan 14, 2023",Job Name 47,Job Type 6,6,$200.00
"Jan 15, 2023",Job Name 48,Job Type 10,1,42.15
"Jan 16, 2023",Job Name 49,Job Type 2,5,$200.00
"Jan 17, 2023",Job Name 50,Job Type 1,1,$79.60
"Jan 18, 2023",Job Name 51,Job Type 10,2,$100.65
"Jan 19, 2023",Job Name 52,Job Type 2,2,$96.28
"Jan 19, 2023",Job Name 53,Job Type 2,2,$96.28
"Jan 20, 2023",Job Name 54,Job Type 4,1,$100.65
"Jan 21, 2023",Job Name 55,Job Type 6,5,$152.24
"Jan 23, 2023",Job Name 56,Job Type 6,4.5,$300.00
"Jan 24, 2023",Job Name 57,Job Type 6,7,$250.00
"Jan 25, 2023",Job Name 58,Job Type 6,3.125,$50.00
"Jan 25, 2023",Job Name 59,Job Type 6,3.125,$50.00
"Jan 26, 2023",Job Name 60,Job Type 5,4.5,$117.92
"Jan 30, 2023",Job Name 61,Job Type 6,2.5,$100.00
"Jan 31, 2023",Job Name 62,Job Type 7,4,$150.00
"Feb 1, 2023",Job Name 63,Job Type 7,4.5,$200.00
"Feb 2, 2023",Job Name 64,Job Type 2,4,$110.31
"Feb 3, 2023",Job Name 65,Job Type 2,5.5,$200.00
"Feb 6, 2023",Job Name 66,Job Type 2,7.5,$349.56
"Feb 7, 2023",Job Name 67,Job Type 2,3.5,$80.33
"Feb 8, 2023",Job Name 68,Job Type 2,4.5,$210.91
"Feb 13, 2023",Job Name 69,Job Type 6,4,$200.00
"Feb 14, 2023",Job Name 70,Job Type 2,2,$149.24
"Feb 15, 2023",Job Name 71,Job Type 8,2,$70.00
"Feb 16, 2023",Job Name 72,Job Type 2,3,$123.99
"Feb 17, 2023",Job Name 73,Job Type 2,4,$298.48
"Feb 18, 2023",Job Name 74,Job Type 2,2,$74.26
"Feb 20, 2023",Job Name 75,Job Type 7,4,$200.00
"Feb 21, 2023",Job Name 76,Job Type 10,2,$18.09
"Feb 21, 2023",Job Name 77,Job Type 10,2,$18.09
"Feb 22, 2023",Job Name 78,Job Type 6,4.5,$200.00
"Feb 23, 2023",Job Name 79,Job Type 2,2,$131.25
"Feb 24, 2023",Job Name 80,Job Type 4,2,$125.89
"Feb 25, 2023",Job Name 81,Job Type 7,3,$200.00
"Feb 27, 2023",Job Name 82,Job Type 7,5,$150.00
"Feb 28, 2023",Job Name 83,Job Type 2,7,$343.56
"Mar 1, 2023",Job Name 84,Job Type 1,2,$105.30
"Mar 2, 2023",Job Name 85,Job Type 7,3,$200.00
"Mar 3, 2023",Job Name 86,Job Type 1,2,$150.00
"Mar 6, 2023",Job Name 87,Job Type 1,2.5,$225.94
"Mar 7, 2023",Job Name 88,Job Type 1,7,$110.25
"Mar 8, 2023",Job Name 89,Job Type 4,2,$261.52
"Mar 9, 2023",Job Name 90,Job Type 1,2,$149.98
"Mar 13, 2023",Job Name 91,Job Type 1,4,$157.88
"Mar 14, 2023",Job Name 92,Job Type 8,2.5,$80.00
"Mar 15, 2023",Job Name 93,Job Type 3,5,$197.34
"Mar 16, 2023",Job Name 94,Job Type 2,2,$72.68
"Mar 16, 2023",Job Name 95,Job Type 2,2,$72.68
"Mar 17, 2023",Job Name 96,Job Type 2,2,$52.72
"Mar 20, 2023",Job Name 97,Job Type 3,5.5,$370.69
"Mar 21, 2023",Job Name 98,Job Type 1,4,$88.32
"Mar 22, 2023",Job Name 99,Job Type 2,2.5,$98.56
"Mar 23, 2023",Job Name 100,Job Type 3,7.5,$464.94
"Mar 24, 2023",Job Name 101,Job Type 6,3,$200.00
"Mar 25, 2023",Job Name 102,Job Type 4,3,$242.25
"Mar 26, 2023",Job Name 103,Job Type 2,2,$100.00
"Mar 27, 2023",Job Name 104,Job Type 5,3.5,$224.42
"Mar 28, 2023",Job Name 105,Job Type 7,3.25,$100.00
"Apr 3, 2023",Job Name 106,Job Type 2,2,$79.07
"Apr 4, 2023",Job Name 107,Job Type 5,4,$163.65
"Apr 10, 2023",Job Name 108,Job Type 2,5,$259.91
"Apr 11, 2023",Job Name 109,Job Type 8,3,$150.00
"Apr 12, 2023",Job Name 110,Job Type 6,4,$200.00
"Apr 13, 2023",Job Name 111,Job Type 2,3.5,$112.63
"Apr 14, 2023",Job Name 112,Job Type 2,2.5,$129.92
"Apr 15, 2023",Job Name 113,Job Type 1,2.5,$122.28
"Apr 17, 2023",Job Name 114,Job Type 2,4,$197.60
"Apr 18, 2023",Job Name 115,Job Type 3,6,$346.17
"Apr 19, 2023",Job Name 116,Job Type 3,5,$288.48
"Apr 20, 2023",Job Name 117,Job Type 1,2,$103.55
"Apr 20, 2023",Job Name 118,Job Type 1,2,$103.55
"Apr 21, 2023",Job Name 119,Job Type 10,6,$400.00
"Apr 22, 2023",Job Name 120,Job Type 3,5,$288.47
"Apr 24, 2023",Job Name 121,Job Type 1,2,$171.99
"Apr 25, 2023",Job Name 122,Job Type 2,4,$209.29
"Apr 26, 2023",Job Name 123,Job Type 10,3,$200.00
"Apr 27, 2023",Job Name 124,Job Type 1,2.25,200
"Apr 27, 2023",Job Name 125,Job Type 2,2,49
"Apr 27, 2023",Job Name 126,Job Type 2,1,$8.50
"May 1, 2023",Job Name 127,Job Type 2,4,$158.24
"May 2, 2023",Job Name 128,Job Type 3,7,$305.16
"May 3, 2023",Job Name 129,Job Type 3,7,$390.98
"May 4, 2023",Job Name 130,Job Type 3,5,$217.97
"May 8, 2023",Job Name 131,Job Type 2,2,$119.63
"May 8, 2023",Job Name 132,Job Type 10,3,$179.45
"May 9, 2023",Job Name 133,Job Type 10,2.25,$109.50
"May 10, 2023",Job Name 134,Job Type 7,3,$155.14
"May 11, 2023",Job Name 135,Job Type 7,3,$100.00
"May 12, 2023",Job Name 136,Job Type 4,1,$64.82
"May 15, 2023",Job Name 137,Job Type 6,5,$400.00
"May 16, 2023",Job Name 138,Job Type 7,4.75,$300.00
"May 17, 2023",Job Name 139,Job Type 2,3.5,$168.09
"May 22, 2023",Job Name 140,Job Type 4,3,$235.43
"May 23, 2023",Job Name 141,Job Type 2,3.5,$145.98
"May 24, 2023",Job Name 142,Job Type 2,4,$139.26
"May 29, 2023",Job Name 143,Job Type 6,9,$300.00
"May 30, 2023",Job Name 144,Job Type 6,3,$100.00
"May 31, 2023",Job Name 145,Job Type 1,2,$96.55
"Jun 5, 2023",Job Name 146,Job Type 2,3.5,$103.46
"Jun 6, 2023",Job Name 147,Job Type 2,5.5,$139.26
"Jun 7, 2023",Job Name 148,Job Type 8,5,$160.00
"Jun 8, 2023",Job Name 149,Job Type 10,2,$47.70
"Jun 9, 2023",Job Name 150,Job Type 10,1.75,$57.46
"Jun 9, 2023",Job Name 151,Job Type 10,1.75,$57.46
"Jun 10, 2023",Job Name 152,Job Type 3,2,$171.67
"Jun 11, 2023",Job Name 153,Job Type 3,3.5,$232.27
"Jun 12, 2023",Job Name 154,Job Type 7,4,$150.00
"Jun 13, 2023",Job Name 155,Job Type 8,2,$80.00
"Jun 14, 2023",Job Name 156,Job Type 10,1.5,$57.46
"Jun 14, 2023",Job Name 157,Job Type 10,1.5,$57.46
"Jun 19, 2023",Job Name 158,Job Type 10,3,$178.58
"Jun 19, 2023",Job Name 159,Job Type 6,3,200
"Jun 20, 2023",Job Name 160,Job Type 10,7.5,$473.21
"Jun 21, 2023",Job Name 161,Job Type 2,2,$84.29
"Jun 22, 2023",Job Name 162,Job Type 1,1.5,$82.14
"Jun 23, 2023",Job Name 163,Job Type 3,3,$99.68
"Jun 24, 2023",Job Name 164,Job Type 6,4,$200.00
"Jun 26, 2023",Job Name 165,Job Type 3,4,$204.92
"Jun 27, 2023",Job Name 166,Job Type 6,3,$100.00
"Jun 28, 2023",Job Name 167,Job Type 7,4,$200.00
"Jun 29, 2023",Job Name 168,Job Type 1,4,$137.22
"Jun 30, 2023",Job Name 169,Job Type 2,1.75,$76.96
"Jun 30, 2023",Job Name 170,Job Type 2,1.75,$76.96
"Jul 1, 2023",Job Name 171,Job Type 3,8,$409.85
"Jul 3, 2023",Job Name 172,Job Type 6,2.5,$100.00
"Jul 3, 2023",Job Name 173,Job Type 2,1,50.53
"Jul 4, 2023",Job Name 174,Job Type 1,3,$105.30
"Jul 5, 2023",Job Name 175,Job Type 4,1,$118.91
"Jul 7, 2023",Job Name 176,Job Type 10,2.5,$88.50
